Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
50 Eight Limited,fifty_eight,100,0,0,100,100,0,100,-,0,44,100,0,0,100,100,0,100,-,0,44
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,100,0,0,0,0,0,50,0,0,17,100,0,0,0,0,0,50,0,0,17
Aasaman Nepal,aasaman,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ABAAD - Resource Center for Gender Equality,arcfge,0,0,0,100,0,71,0,4,93,30,0,0,0,100,0,71,0,4,93,30
Abaseen Foundation UK,abaseen,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Able Child Africa,ablechildafrica,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Abt Associates Inc,abt,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
Abt Britain Limited,abtbritain,100,100,0,100,0,0,100,50,0,50,100,100,0,100,0,0,100,50,0,50
Academy for Health Development (AHEAD),ahead,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
Académie de recherche et d'enseignement supérieur,ares,100,73,73,100,0,5,100,63,77,66,100,73,73,100,0,5,100,63,77,66
Accelerator Nepal,acceleratornepal,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
Access to Medicine Foundation,atmf,0,0,0,100,0,50,0,0,100,28,0,0,0,100,0,50,0,0,100,28
Access to Seeds Foundation,atsf,0,0,0,100,0,93,0,0,0,21,0,0,0,100,0,93,0,0,0,21
Accountability Lab,alab,0,0,0,100,0,40,0,80,0,24,0,0,0,100,0,40,0,80,0,24
Accountable Now,accountablenow,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Acid Survivors Foundation,_admin,0,0,0,0,0,100,0,100,0,22,0,0,0,0,0,100,0,100,0,22
ACODEV,acodev,100,83,83,100,0,17,100,100,67,72,100,83,83,100,0,17,100,100,67,72
Across,across,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
act4africa,act4africa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ACTED,acted,67,0,0,67,0,33,0,33,33,26,67,0,0,67,0,33,0,33,33,26
ACTION AGAINST HUNGER SPAIN,acfspain,0,0,0,50,0,0,0,50,0,11,0,0,0,50,0,0,0,50,0,11
Action Against Hunger UK,acf,25,6,0,100,0,25,0,26,0,20,25,6,0,100,0,25,0,26,0,20
Action Against Hunger USA,aahusa,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Action Contre la Faim,acf-fr,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
ActionAid Bangladesh,aab,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,14,0,0,100,0,14,100,60,0,32,14,0,0,100,0,14,100,60,0,32
ActionAid Ghana,aag,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
ActionAid International,aai,0,0,0,100,0,0,100,-,0,22,0,0,0,100,0,0,100,-,0,22
ACTIONAID INTERNATIONAL KENYA,aaik,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
ActionAid Rwanda,aar,33,0,0,100,0,33,100,100,0,41,33,0,0,100,0,33,100,100,0,41
ActionAid UK,aauk,97,34,0,100,0,7,52,46,3,38,97,34,0,100,0,7,100,46,3,43
Acumen,acumen,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Adam Smith International,asi,8,8,0,100,0,31,100,64,0,35,8,8,0,100,0,31,100,64,0,35
Adaptation Fund,af,0,100,0,36,0,0,0,41,0,20,0,100,0,100,0,100,0,41,0,38
ADD International (Action on Disability and Development),addinternational,8,42,0,33,0,67,100,56,0,34,8,42,0,42,0,67,100,56,0,35
